time	wordtype	count
2016-08-08 15:20:44	X1	0
2016-08-08 13:28:20	X1	0
2016-08-08 00:05:54	X1	0
2016-08-07 23:09:08	X1	0
2016-08-07 21:31:46	X1	0
2016-08-07 13:49:29	X1	0
2016-08-07 02:19:37	X1	1
2016-08-07 02:03:39	X1	0
2016-08-07 01:53:45	X1	1
2016-08-06 20:04:08	X1	0
2016-08-06 18:11:50	X1	0
2016-08-06 14:48:14	X1	0
2016-08-06 14:24:43	X1	0
2016-08-06 11:53:00	X1	0
2016-08-06 03:59:08	X1	0
2016-08-06 02:57:11	X1	0
2016-08-06 02:44:55	X1	1
2016-08-05 23:53:53	X1	0
2016-08-05 22:42:08	X1	1
2016-08-05 20:03:29	X1	0
2016-08-05 13:08:35	X1	0
2016-08-05 10:39:27	X1	0
2016-08-05 02:19:22	X1	0
2016-08-05 02:19:08	X1	0
2016-08-05 02:18:18	X1	0
2016-08-05 02:16:20	X1	0
2016-08-04 22:42:13	X1	0
2016-08-04 19:23:41	X1	0
2016-08-04 19:16:00	X1	0
2016-08-04 15:17:01	X1	1
2016-08-04 02:27:52	X1	0
2016-08-03 23:10:41	X1	1
2016-08-03 22:10:11	X1	1
2016-08-03 21:57:07	X1	0
2016-08-03 10:23:27	X1	0
2016-08-03 09:14:40	X1	0
2016-08-03 02:51:00	X1	0
2016-08-02 21:52:32	X1	0
2016-08-02 19:38:16	X1	0
2016-08-02 19:07:25	X1	0
2016-08-02 18:27:51	X1	0
2016-08-02 18:13:10	X1	0
2016-08-02 18:00:06	X1	0
2016-08-02 17:47:19	X1	0
2016-08-02 16:57:16	X1	0
2016-08-02 10:24:03	X1	0
2016-08-02 02:22:42	X1	0
2016-08-02 01:58:48	X1	1
2016-08-02 01:33:45	X1	1
2016-08-01 23:25:11	X1	0
2016-08-01 23:02:59	X1	0
2016-08-01 22:54:27	X1	0
2016-08-01 22:52:39	X1	0
2016-08-01 22:52:00	X1	0
2016-08-01 22:46:28	X1	0
2016-08-01 21:42:57	X1	1
2016-08-01 20:42:50	X1	1
2016-08-01 20:40:27	X1	0
2016-08-01 18:47:54	X1	2
2016-08-01 18:46:58	X1	0
2016-08-01 18:45:22	X1	0
2016-08-01 18:44:04	X1	0
2016-08-01 18:43:25	X1	0
2016-08-01 18:42:50	X1	0
2016-08-01 14:52:50	X1	0
2016-08-01 14:48:22	X1	0
2016-08-01 13:03:02	X1	0
2016-08-01 12:50:32	X1	0
2016-08-01 11:27:43	X1	0
2016-08-01 11:10:51	X1	0
2016-08-01 00:57:15	X1	0
2016-07-31 20:31:06	X1	0
2016-07-31 20:09:00	X1	0
2016-07-31 13:32:55	X1	0
2016-07-31 12:57:21	X1	0
2016-07-31 03:32:40	X1	0
2016-07-30 23:00:07	X1	0
2016-07-30 22:28:22	X1	1
2016-07-30 22:24:40	X1	0
2016-07-30 22:18:58	X1	0
2016-07-30 22:12:36	X1	0
2016-07-30 22:04:14	X1	0
2016-07-30 21:55:48	X1	0
2016-07-30 21:51:25	X1	0
2016-07-30 20:01:32	X1	0
2016-07-30 19:55:26	X1	0
